NAME AS PUBLISHED,GENCODE ID,Oncogene(o) or TumourSupp(t),Cancer Type CLC2,Evidence level,CLC Version Number,analysis_subtype,PMID REFERENCE,CISelement publication,Cancer Type with CIS,CIS function,CIS location mouse GRCm38/mm10,whole CIS location human hg38
SPRY4-IT1,ENSG00000274721,ot,neuroepithelial stomach urothelial breast esophageal colon skin bone thyroid liver lung ovarian gallbladder testis bile_duct pancreas ,ptv,1,CLC1lit,26464658 26238992 25973088 25742952 27460732 27453415 27391336  27391336  27239436  26982001 29234152 29214989 28881629 28796375 28720069 28691641 28129625 28078006 27998761 27902971 27899259 27621655 28508063 26829028 29410498 29642935 29551494 ,,neuroepithelial stomach urothelial breast esophageal colon skin bone thyroid liver lung ovarian gallbladder testis bile_duct pancreas ,,,
SUZ12P1,ENSG00000264538,o,prostate,pt,1,CLC1lit,27556357,,prostate,,,
TCL6,ENSG00000187621,t,kidney,t,1,CLC1lit,27494890,,kidney,,,
TERC,ENSG00000270141,o,neuroepithelial blood colon cervical prostate ,gst,1,CLC1lit,26017031 22800828 22390679  21708826 28888037 ,,neuroepithelial blood colon cervical prostate ,,,
TRPM2-AS,ENSG00000230061,o,prostate liver lung ,tp,1,CLC1lit,24931166 29081064 28678322 28231726 26484139 29081064 ,,prostate liver lung ,,,
TUG1,ENSG00000253352,ot,bone lung esophageal liver neuroepithelial stomach colon urothelial bile_duct ovarian cervical oral breast pancreas thyroid tongue endometrial skin blood ,gptvm,1,CLC1lit,23725133  24853421  25366138  26336870  26748401  26913601 27345398  27421138  27460088 29371936 29321088 29277771 29271993 29254212 29179467 29029483 29029475 29029428 28979812 28950664 28927144 28902349 28813705 28802060 28645161 28617552 28597931 28503069 28411362 28404901 28376901 28352787 28302487 28205334 28119088 28088836 28069000 28053623 27983921 27922002 27848085 27693324 27658774 27634385 27485439 29543785 29742691 29776371 28411362 29321088 30452403 30595764 ,Bard-Chapeau2014-01 Takeda2015-03 ,bone lung esophageal liver neuroepithelial stomach colon urothelial bile_duct ovarian cervical oral breast pancreas thyroid tongue endometrial skin blood ,NotDetermined,11:3639793-3648808 11:3641265-3648579 ,chr22:30969477-30978850 chr22:30969739-30977428 
TUSC7,ENSG00000243197,t,lung liver bone stomach neuroepithelial colon endometrial esophageal ,pt,1,CLC1lit,27158360  27002617  26781978 25765901 29397407 28979678 28653877 28214867 27766072 29530057 ,,lung liver bone stomach neuroepithelial colon endometrial esophageal ,,,
TUSC8,ENSG00000237361,t,cervical colon ,pt,1,CLC1lit,24667250 29436686 ,,cervical colon ,,,
UCA1,ENSG00000214049,o,urothelial liver breast lung bone bile_duct stomach oral neuroepithelial gallbladder kidney cervical prostate head_and_neck pancreas blood esophageal endometrial skin ovarian tongue colon ,tvp,1,CLC1lit,18501714 27167190 29408336 29355524 29328452 29279851 29221199 29212166 29130995 29125238 29113184 28916736 28843497 28841829 28762326 28641488 28624787 28569779 28548636 28466784 28416841 28414550 28337266 28327194 28315290 28271214 28209917 28137422 28105536 28075173 28038452 27977766 27902466 27893417 27854515 27831634 27686228 27697109 27667646 27562722 27765938 27591936 27694794 27629141 27560546 27540975 27424981 27389544 27335776 27267823 27056384 27046651 27009634 26935146 26867765 26792186 26655272 26550172 26544536 26464647 26439035 26238511 26160838 26053097 25967360 25760077 25550835 24993775 24977734 24892958 24737584 24648007 24495014 24332332 22576688 22285928 29516678 29948578 30017333 30107990 30144501 30457360 30464170 ,,urothelial liver breast lung bone bile_duct stomach oral neuroepithelial gallbladder kidney cervical prostate head_and_neck pancreas blood esophageal endometrial skin ovarian tongue colon ,,,
WT1-AS,ENSG00000183242,t,liver stomach ,pt,1,CLC1lit,26462627 26449525 ,,liver stomach ,,,
XIST,ENSG00000229807,ot,neuroepithelial blood lung breast pancreas bone urothelial prostate colon esophageal stomach liver nasopharyngeal ovarian thyroid ,tv,1,CLC1lit,25578780  23415223  27501756  27248326 29393501 29384226 29339211 29337100 29212249 29212233 29187887 29137332 29130102 29100288 29053187 28869948 28837144 28831025 28730777 28656261 28448993 28409547 28388883 28295543 28248928 28231734 27911852 27620004 27461945 29219216 29337100 29384226 29679755 30091314 30362292 30207107 30463570 ,,neuroepithelial blood lung breast pancreas bone urothelial prostate colon esophageal stomach liver nasopharyngeal ovarian thyroid ,,,
ZEB1-AS1,ENSG00000237036,o,liver esophageal stomach blood prostate colon urothelial bone neuroepithelial cervical ,ptv,1,CLC1lit,26073087  26617942 29215918 29113674 28861713 28830551 28618933 28445936 28075045 27829995 27748842 27589728 30425516 ,,liver esophageal stomach blood prostate colon urothelial bone neuroepithelial cervical ,,,
ZFAS1,ENSG00000177410,o,colon stomach liver bone blood neuroepithelial ovarian urothelial ,pstv,1,CLC1lit,27461828 27246976 26069248 29424266 29262629 29179614 28744396 28672980 28349823 28285404 28099946 28081466 27862275 29678899 29653362 ,,colon stomach liver bone blood neuroepithelial ovarian urothelial ,,,
ZXF1,ENSG00000180139,o,lung liver ,ptv,1,CLC1lit,24721325 28088733 ,,lung liver ,,,
RMRP,ENSG00000269900,o,stomach lung neuroepithelial blood ,tv,1,CLC1lit,27192121 27906963 29181061 30389523 30582709 ,,stomach lung neuroepithelial blood ,,,
SNHG6,ENSG00000245910,o,liver stomach colon lung breast ,ptv,1,CLC1lit,27530352 28683446 27702662 29844127 30254467 30257360 30522015 ,,liver stomach colon lung breast ,,,
linc01105,ENSG00000232044,o,neuroepithelial ,tp,2,CLC2lit,27824082,,neuroepithelial ,,,
NORAD,ENSG00000260032,ot,pancreas liver breast cervical colon ,tvp,2,CLC2lit,29121972 28919047 26942882 30119219 30349308 30537113 ,,pancreas liver breast cervical colon ,,,
MAYA,ENSG00000243479,o,ovarian breast lung ,tpv,2,CLC2lit,28414551 28114269 30506837 ,,ovarian breast lung ,,,
IRAIN,ENSG00000259424,t,blood lung pancreas breast ,tg,2,CLC2lit,25092925 26722412 27644252 25465188 ,,blood lung pancreas breast ,,,
TUC338,ENSG00000282977,o,liver tongue colon cervical lung ,t,2,CLC2lit,21187392 27637778 27914101 28599453 29424901 ,,liver tongue colon cervical lung ,,,
lnc-LAMC2-1:1,ENSG00000224468,o,colon blood ,g,2,CLC2lit,26905585 28032728 ,,colon blood ,,,
lncRNA-AWPPH,ENSG00000172965,o,liver urothelial stomach esophageal lung breast ,tvpm,2,CLC2lit,28428004 29231261 29271006 29568233 29872866 30333256 ,Guo2016-01,liver urothelial stomach esophageal lung breast blood,NotDetermined,2:128195993-128429349 ,chr2:111208763-111495118
HOXD-AS1,ENSG00000224189,o,liver lung ovarian skin cervical prostate stomach urothelial neuroepithelial ,tv,2,CLC2lit,28810927 28443464 29416930 29312805 29239819 29228418 29033588 28724429 28487115 28475004 27328915 25522241 29341117 29341117 ,,liver lung ovarian skin cervical prostate stomach urothelial neuroepithelial ,,,
DGCR5,ENSG00000237517,o,lung pancreas kidney stomach cervical larynx ,tv,2,CLC2lit,29030962 29207609 28744397 29393141 29790668 30515803 30552671 30549038 ,,lung pancreas kidney stomach cervical larynx ,,,
CCAT2,ENSG00000280997,o,ovarian stomach bile_duct pancreas endometrial colon liver kidney oral breast lung neuroepithelial prostate urothelial cervical blood ,tvgp,2,CLC2lit,29435081 29435046 29393466 29329034 29298720 29036788 28964256 28744394 28718366 28671055 28550684 28531944 28367233 28280353 28272713 28248065 28088736 27938499 27904778 27833083 27558961 27470400 27347113 27283598 27220388 27015551 26983975 26442763 24504682 29567676 ,,ovarian stomach bile_duct pancreas endometrial colon liver kidney oral breast lung neuroepithelial prostate urothelial cervical blood ,,,
THOR,ENSG00000226856,o,lung skin retinoblastoma nasopharyngeal ,tv,2,CLC2lit,29245011 30119193 30503558 ,,lung skin retinoblastoma nasopharyngeal ,,,
RMST,ENSG00000255794,t,breast prostate pancreas,tg,2,CLC2lit,29215701 26443449 19648918 ,,breast prostate pancreas,,,
MT1JP,ENSG00000255986,t,liver stomach ,tvp,2,CLC2lit,26909858 29720189 ,,liver stomach ,,,
LINC01186,ENSG00000236751,t,lung ,t,2,CLC2lit,28119085,,lung ,,,
lncRNA-MUF,ENSG00000235884,o,liver ,t,2,CLC2lit,28947421,,liver ,,,
MANCR,ENSG00000231298,o,breast ,t,2,CLC2lit,29378907,,breast ,,,
DUXAP8,ENSG00000206195,o,kidney stomach lung pancreas urothelial ,tpv,2,CLC2lit,29152119 28881724 28131418 30367681 30243082 ,,kidney stomach lung pancreas urothelial ,,,
SNHG7,ENSG00000233016,o,liver neuroepithelial lung stomach prostate colon bone ,tvp,2,CLC2lit,29047230 29360452 29131440 29131253 27666964 29571017 29915311 29970122 29989838 ,,liver neuroepithelial lung stomach prostate colon bone ,,,
SNHG3,ENSG00000242125,o,colon ,t,2,CLC2lit,28731158,,colon ,,,
SNHG5,ENSG00000203875,o,urothelial colon stomach ,tpv,2,CLC2lit,29434891 28004750 27871067 27065326 30395767 ,,urothelial colon stomach ,,,
SNHG12,ENSG00000197989,o,bone stomach lung breast colon liver nasopharyngeal neuroepithelial urothelial ,tpvmc,2,CLC2lit,29229388 29207106 28872894 28337281 28225893 28073380 26486328 30452404 30098431 30243082 27980086 ,Guo2016-01 ,bone stomach lung breast colon liver nasopharyngeal neuroepithelial urothelial blood ,Gain,4:132308678-132311024,chr1:28578671-28581168
SNHG14,ENSG00000224078,o,kidney lung cervical ,tv,2,CLC2lit,29312804 30254102 30611620 ,,kidney lung cervical ,,,
SNHG17,ENSG00000196756,o,colon ,tvpm,2,CLC2lit,28933484,Kodama2016-01,colon liver ,NotDetermined,2:158353700-158361580,chr20:38420322-38435415
SNHG20,ENSG00000234912,o,breast stomach ovarian lung liver colon urothelial oral ,tvp,2,CLC2lit,29236315 29113337 29101241 28981099 28282787 27543107 27053960 30106094 30394668 ,,breast stomach ovarian lung liver colon urothelial oral ,,,
LINC01234,ENSG00000249550,o,stomach esophageal ,tv,2,CLC2lit,29386218 30519325 ,,stomach esophageal ,,,
PTENP1,ENSG00000237984,t,liver breast urothelial stomach esophageal head_and_neck oral kidney neuroepithelial ,tvgp,2,CLC2lit,29296207 29212574 29085464 29021233 28931965 28731203 28731027 28212532 28112249 27862321 25968876 25617127 25249556 30285771 30613153 ,,liver breast urothelial stomach esophageal head_and_neck oral kidney neuroepithelial ,,,
PRNCR1,ENSG00000282961,o,colon ,gtp,2,CLC2lit,24330491 26206497 ,,colon ,,,
FOXD2-AS1,ENSG00000237424,o,urothelial nasopharyngeal colon lung liver ,tvp,2,CLC2lit,29445134 29248577 28925486 28132805 30272362 ,,urothelial nasopharyngeal colon lung liver ,,,
LINC00346,ENSG00000255874,to,lung urothelial ,tv,2,CLC2lit,29228425 28705739 ,,lung urothelial ,,,
HCG11,ENSG00000228223,o,liver ,t,2,CLC2lit,28677801,,liver ,,,
MIAT,ENSG00000225783,o,breast lung liver stomach ovarian ,tvp,2,CLC2lit,29345338 29228680 29100300 29097358 29039602 28843520 30393480 ,,breast lung liver stomach ovarian ,,,
GACAT3,ENSG00000236289,o,stomach colon ,tv,2,CLC2lit,27644247 29091858 29593420 30098426 ,,stomach colon ,,,
KCNQ1OT1,ENSG00000269821,t,neuroepithelial lung tongue ,tv,2,CLC2lit,28381990 28600629 29970910 ,,neuroepithelial lung tongue ,,,
AGAP2-AS1,ENSG00000255737,o,lung stomach neuroepithelial breast ,tpv,2,CLC2lit,27195672 28209205 27764782 30157918 ,,lung stomach neuroepithelial breast ,,,
APOC1P1-3,ENSG00000214855,o,breast ,t,2,CLC2lit,27228351,,breast ,,,
BCYRN1,ENSG00000236824,o,breast ovarian lung cervical ,tv,2,CLC2lit,28651607 26893717 27277684 25866480 29552212,,breast ovarian lung cervical ,,,
CPS1-IT1,ENSG00000280837,t,colon ovarian lung liver ,tvp,2,CLC2lit,29145177 29017924 28770969 27662619 27248828 ,,colon ovarian lung liver ,,,
CACNA1G-AS1,ENSG00000250107,o,lung ,t,2,CLC2lit,29509247,,lung ,,,
EPB41L4A-AS2,ENSG00000278921,t,breast kidney lung ,tp,2,CLC2lit,26980733,,breast kidney lung ,,,
HIF1A-AS2,ENSG00000258667,o,colon neuroepithelial urothelial stomach ovarian ,tvp,2,CLC2lit,29278853 27264189 27018306 25686741 30588022 ,,colon neuroepithelial urothelial stomach ovarian ,,,
LUCAT1,ENSG00000248323,o,lung colon neuroepithelial bone esophageal kidney ,tvpm,2,CLC2lit,28423699 28857495 29089067 29170124 29247823 29371934 29491376 29932248 ,Rad2015-01 ,lung colon neuroepithelial bone esophageal kidney pancreas ,NotDetermined ,13:80940147-80960147 ,chr5:91285939-91312821
LINC00473,ENSG00000223414,o,cervical head_and_neck kidney lung colon stomach ,tvp,2,CLC2lit,29218240 29353885 29159834 27140397 30126852 30071345 ,,cervical head_and_neck kidney lung colon stomach ,,,
LINC00628,ENSG00000280924,t,breast stomach ,tv,2,CLC2lit,28165561 27272474 ,,breast stomach ,,,
LINC00668,ENSG00000265933,o,stomach oral larynx ,tvp,2,CLC2lit,27036039 28564590 30415008 ,,stomach oral larynx ,,,
LINC00857,ENSG00000237523,o,lung stomach ,tvp,2,CLC2lit,26862852 30008909 ,,lung stomach ,,,
LUNAR1,ENSG00000278090,o,blood ,tp,2,CLC2lit,26796267,,blood ,,,
MDC1-AS,ENSG00000224328,t,stomach neuroepithelial ,t,2,CLC2lit,29375682 27261595 ,,stomach neuroepithelial ,,,
PAUPAR,ENSG00000281880,t,skin ,tv,2,CLC2lit,27214741,,skin ,,,
SBF2-AS1,ENSG00000246273,o,lung ,tvp,2,CLC2lit,27154193 27460731 ,,lung ,,,
uc_338,ENSG00000274845,o,liver lung ,t,2,CLC2lit,27154519 27712590 ,,liver lung ,,,
NNT-AS1,ENSG00000248092,o,bone colon cervical liver ,tvp,2,CLC2lit,29518771 27966450 28628975 29179477 30489194 ,,bone colon cervical liver ,,,
LINC00707,ENSG00000238266,o,lung stomach ,tvp,2,CLC2lit,29482190 30502359 ,,lung stomach ,,,
MAP3K20-AS1,ENSG00000238133,o,stomach ovarian ,tv,2,CLC2lit,29428732 30249278 ,,stomach ovarian ,,,
SFTA1P,ENSG00000225383,t,stomach lung ,tpv,2,CLC2lit,29523596 28231733 ,,stomach lung ,,,
Linc00659,ENSG00000228705,o,colon ,t,2,CLC2lit,29523145,,colon ,,,
NCK1-AS1,ENSG00000239213,o,cervical ,t,2,CLC2lit,29416014,,cervical ,,,
TP73-AS1,ENSG00000227372,o,esophageal neuroepithelial liver breast bone lung ovarian bile_duct stomach ,tvp,2,CLC2lit,26799587 28379612 28403886 28639399 29412778 29864904 29803931 29904939 29966969 30118890 29750302 ,,esophageal neuroepithelial liver breast bone lung ovarian bile_duct stomach ,,,
LINC00460,ENSG00000233532,ot,esophageal nasopharyngeal lung colon ,tv,2,CLC2lit,28939763 28987345 29409808 29509248 30123352 29926523 30359741 ,,esophageal nasopharyngeal lung colon ,,,
CCND2-AS1,ENSG00000255920,o,thyroid neuroepithelial ,t,2,CLC2lit,29366479 27923660 ,,thyroid neuroepithelial ,,,
SLC7A11-AS1,ENSG00000250033,t,stomach ovarian ,tv,2,CLC2lit,29348845 29441937 ,,stomach ovarian ,,,
SUMO1P3,ENSG00000235082,o,urothelial colon breast ,tpv,2,CLC2lit,26799188 29312498 29312511 ,,urothelial colon breast ,,,
lncHERG,ENSG00000273142,o,neuroepithelial ,tv,2,CLC2lit,29296221,,neuroepithelial ,,,
RGMB-AS1,ENSG00000246763,o,lung ,tvp,2,CLC2lit,26950071,,lung ,,,
PART1,ENSG00000152931,o,prostate esophageal ,tpv,2,CLC2lit,29261512 30049286 ,,prostate esophageal ,,,
RNA00364,ENSG00000230040,t,liver ,tvp,2,CLC2lit,29254221,,liver ,,,
LOC730101,ENSG00000216775,o,bone lung ,tv,2,CLC2lit,29253564 28943432 ,,bone lung ,,,
ZNF667-AS1,ENSG00000166770,t,cervical ,tp,2,CLC2lit,29243775,,cervical ,,,
FEZF1-AS1,ENSG00000230316,o,colon stomach lung pancreas bone blood liver ,tvp,2,CLC2lit,26848625 28209170 28858731 29239821 29262540 29348628 29510777 29510778 29864963 29914894 30365146 ,,colon stomach lung pancreas bone blood liver ,,,
SOX21-AS1,ENSG00000227640,t,colon lung ,tvp,2,CLC2lit,29217166 28873379 ,,colon lung ,,,
LINC00161,ENSG00000226935,t,liver ,tp,2,CLC2lit,29179215 28915581 ,,liver ,,,
LINC01567,ENSG00000224310,o,colon ,tv,2,CLC2lit,29110645,,colon ,,,
HAND2-AS1,ENSG00000237125,t,endometrial,tp,2,CLC2lit,29107108,,endometrial,,,
TTN-AS1,ENSG00000237298,o,esophageal ,t,2,CLC2lit,29101304,,esophageal ,,,
FTH1P3,ENSG00000213453,o,skin oral ,t,2,CLC2lit,29095823 29095823 ,,skin oral ,,,
LINC01296,ENSG00000225210,o,stomach prostate urothelial lung breast ,tvp,2,CLC2lit,29091895 28392705 28341852 30240003 29981416 30515972 ,,stomach prostate urothelial lung breast ,,,
LINC00958,ENSG00000251381,o,urothelial neuroepithelial ,tpv,2,CLC2lit,28341852 29570358 ,,urothelial neuroepithelial ,,,
LINC00968,ENSG00000246430,o,lung ,tv,2,CLC2lit,28926089,,lung ,,,
OR3A4,ENSG00000180068,o,breast stomach ,tv,2,CLC2lit,29031201 26863570 ,,breast stomach ,,,
CASC2,ENSG00000177640,t,esophageal breast skin liver bone lung pancreas stomach neuroepithelial nasopharyngeal ,tvp,2,CLC2lit,28964779 29523222 29514220 29422114 29319182 29194827 29131257 29091305 28865121 28849111 28744130 28716020 29091305 30569153 ,,esophageal breast skin liver bone lung pancreas stomach neuroepithelial nasopharyngeal ,,,
ILF3-AS1,ENSG00000267100,o,skin ,tp,2,CLC2lit,28935763,,skin ,,,
IGF2-AS,ENSG00000099869,ot,liver lung prostate ,tvp,2,CLC2lit,28928822 28471495 30423304 ,,liver lung prostate ,,,
LEF1-AS1,ENSG00000232021,o,neuroepithelial ,tv,2,CLC2lit,28894380,,neuroepithelial ,,,
DLX6-AS1,ENSG00000231764,o,liver kidney pancreas neuroepithelial cervical esophageal ,tvp,2,CLC2lit,29145165 28881158 30250401 30366080 30535431 30592268 ,,liver kidney pancreas neuroepithelial cervical esophageal ,,,
PDIA3P1,ENSG00000180867,o,liver blood ,tv,2,CLC2lit,28823960 29501744 ,,liver blood ,,,
ABHD11-AS1,ENSG00000225969,o,ovarian urothelial colon pancreas ,tvp,2,CLC2lit,28818073 28157695 30537177 30575903,,ovarian urothelial colon pancreas ,,,
LINC00319,ENSG00000188660,o,lung ,tp,2,CLC2lit,28800794 29408583 29408583 ,,lung ,,,
LINC00589,ENSG00000251191,t,liver ,tv,2,CLC2lit,28746790,,liver ,,,
ElncRNA1,ENSG00000230550,o,ovarian ,tv,2,CLC2lit,28714515,,ovarian ,,,
FOXD3-AS1,ENSG00000230798,ot,neuroepithelial ,tpv,2,CLC2lit,27829996 29398485 ,,neuroepithelial ,,,
MSTO2P,ENSG00000203761,o,stomach ,t,2,CLC2lit,28618927,,stomach ,,,
PINCR,ENSG00000224294,o,colon ,tv,2,CLC2lit,28580901,,colon ,,,
ASBEL,ENSG00000280594,o,bone breast colon ovarian ,t,2,CLC2lit,29323740 28552529 27791078 23419616 ,,bone breast colon ovarian ,,,
CAMTA1-DT,ENSG00000237436,o,breast liver ,tv,2,CLC2lit,28550685 27669232 ,,breast liver ,,,
FBXL19-AS1,ENSG00000260852,o,colon bone ,tvm,2,CLC2lit,28479250 30555237 ,Perna2015-01,colon bone skin ,NotDetermined,7:127744502-127744502,chr16:30921737-30921738
MIR205HG,ENSG00000230937,o,head_and_neck,tp,2,CLC2lit,29556360,,head_and_neck,,,
GASL1,ENSG00000253669,o,liver,tvp,2,CLC2lit,28423601,,liver,,,
PHBP1,ENSG00000213091,o,esophageal,tv,2,CLC2lit,28404970,,esophageal,,,
LINC00461,ENSG00000245526,o,neuroepithelial ,t,2,CLC2lit,29137410 28368417 ,,neuroepithelial ,,,
lncFOXO1,ENSG00000215483,t,breast ,tvp,2,CLC2lit,28339037,,breast ,,,
PICART1,ENSG00000246640,t,breast colon lung ,tv,2,CLC2lit,28339031 29940776 ,,breast colon lung ,,,
LINC00052,ENSG00000259527,ot,stomach liver breast ,tpv,2,CLC2lit,28337962 27351280 28036286 28969024 ,,stomach liver breast ,,,
Linc00441,ENSG00000231473,o,liver ,tv,2,CLC2lit,28300839,,liver ,,,
WWOX-AS1,ENSG00000260969,t,ovarian bone ,tp,2,CLC2lit,28280357 29845204 ,,ovarian bone ,,,
SATB2-AS1,ENSG00000225953,o,bone ,t,2,CLC2lit,28190168,,bone ,,,
OIP5-AS1,ENSG00000247556,o,neuroepithelial lung liver bone breast ,tvpm,2,CLC2lit,28189759 29247949 29464001 29475118 29897167 30119217 30443959 30548308 ,Bard-Chapeau2014-01 Morris2016-01 Kodama2016-01 ,neuroepithelial lung liver bone breast colon ,NotDetermined,2:119594295-119600742 2:119594297-119607502  ,chr15:41283968-41299091 chr15:41283970-41306539
lnc00462717,ENSG00000243410,t,neuroepithelial ,t,2,CLC2lit,28189682,,neuroepithelial ,,,
LINC00858,ENSG00000229404,o,lung ,tp,2,CLC2lit,28177876,,lung ,,,
MIR4697HG,ENSG00000280237,o,ovarian ,tv,2,CLC2lit,28168162,,ovarian ,,,
RHPN1-AS1,ENSG00000254389,o,skin ,tv,2,CLC2lit,28124977,,skin ,,,
ZNRD1-AS1,ENSG00000204623,o,cervical lung urothelial liver ,gt,2,CLC2lit,26328261 27166266 25110835 ,,cervical lung urothelial liver ,,,
HEIRCC,ENSG00000214145,o,kidney ,tvp,2,CLC2lit,28030807,,kidney ,,,
BDNF-AS,ENSG00000245573,t,cervical prostate ,tvp,2,CLC2lit,29572178 29572178 29710528 ,,cervical prostate ,,,
SCAT7,ENSG00000238003,o,lung kidney breast liver ,tvp,2,CLC2lit,29491376,,lung kidney breast liver ,,,
SCAT1,ENSG00000267123,o,lung ,tp,2,CLC2lit,29491376,,lung ,,,
SBDSP1,ENSG00000225648,o,colon ,tvp,2,CLC2lit,27890432 28975982 ,,colon ,,,
FOXP4-AS1,ENSG00000234753,o,colon ,tvp,2,CLC2lit,27790757,,colon ,,,
RPPH1,ENSG00000277209,o,breast ,tv,2,CLC2lit,29200969,,breast ,,,
HCP5,ENSG00000206337,o,thyroid bone cervical ,t,2,CLC2lit,29515098 30554864 30070314 ,,thyroid bone cervical ,,,
MACC1-AS1,ENSG00000228598,o,stomach ,tvp,2,CLC2lit,29510730,,stomach ,,,
CTD-2020K17.1,ENSG00000267121,o,ovarian ,t,2,CLC2lit,29504606,,ovarian ,,,
CEBPA-AS1,ENSG00000267296,o,oral ,tv,2,CLC2lit,29281558,,oral ,,,
lncRNA-CIR,ENSG00000220548,o,urothelial ,tvp,2,CLC2lit,29435036,,urothelial ,,,
pancEts-1,ENSG00000254588,o,neuroepithelial stomach ,tvp,2,CLC2lit,29311158 29773901 ,,neuroepithelial stomach ,,,
RP4,ENSG00000261737,t,colon ,tv,2,CLC2lit,29531464,,colon ,,,
TP53TG1,ENSG00000182165,t,lung ,t,2,CLC2lit,29588850,,lung ,,,
ZEB2-AS1,ENSG00000238057,o,lung pancreas ,tv,2,CLC2lit,29552161 29753015 ,,lung pancreas ,,,
miR503HG,ENSG00000223749,to,liver blood ,tvp,2,CLC2lit,29774077 29758012 ,,liver blood ,,,
AC026904.1,ENSG00000253140,o,breast ,tvp,2,CLC2lit,29774079,,breast ,,,
DGCR9,ENSG00000273032,o,stomach ,tp,2,CLC2lit,29719408,,stomach ,,,
SNHG8,ENSG00000269893,o,stomach lung liver ,tvp,2,CLC2lit,29736176 30275712 30537734 ,,stomach lung liver ,,,
LINC01410,ENSG00000238113,o,stomach ,tp,2,CLC2lit,29483646,,stomach ,,,
HMMR-AS1,ENSG00000251018,o,neuroepithelial ,tv,2,CLC2lit,29574252,,neuroepithelial ,,,
MUC5B-AS1,ENSG00000255177,o,lung ,tv,2,CLC2lit,29670111,,lung ,,,
PWRN1,ENSG00000259905,t,stomach ,tv,2,CLC2lit,29535266,,stomach ,,,
PTTG3P,ENSG00000213005,o,liver ,tvp,2,CLC2lit,29803224,,liver ,,,
ARLNC1,ENSG00000260896,o,prostate ,tvp,2,CLC2lit,29808028,,prostate ,,,
UBE2CP3,ENSG00000250384,o,liver ,tv,2,CLC2lit,29866133,,liver ,,,
MIR22HG,ENSG00000186594,t,liver endometrial lung ,tvp,2,CLC2lit,30083257 29775889 29669758 ,,liver endometrial lung ,,,
HOXA-AS3,ENSG00000254369,o,lung ,tv,2,CLC2lit,29899328,,lung ,,,
LL22NC03-N64E9.1,ENSG00000271127,o,lung ,tp,2,CLC2lit,29935018,,lung ,,,
FLVCR1-AS1,ENSG00000198468,o,liver lung ,tvp,2,CLC2lit,29574975 30309647 ,,liver lung ,,,
MAGI2-AS3,ENSG00000234456,t,breast urothelial ,t,2,CLC2lit,29679339 30442369 ,,breast urothelial ,,,
ADPGK-AS1,ENSG00000260898,o,pancreas ,tv,2,CLC2lit,29667486,,pancreas ,,,
GAU1,ENSG00000255474,o,neuroepithelial retinoblastoma ,tv,2,CLC2lit,29741668,,neuroepithelial retinoblastoma ,,,
LINC01638,ENSG00000233521,o,breast ,tv,2,CLC2lit,30002443,,breast ,,,
LINC01287,ENSG00000234722,o,liver ,tv,2,CLC2lit,30001751,,liver ,,,
TPT1-AS1,ENSG00000170919,o,cervical ,tvp,2,CLC2lit,30045766,,cervical ,,,
LINC00888,ENSG00000240024,o,skin ,tvp,2,CLC2lit,30104884,,skin ,,,
PAX8-AS1-N,ENSG00000189223,t,breast ,tvp,2,CLC2lit,29693272,,breast ,,,
NRON,ENSG00000253079,t,liver ,tp,2,CLC2lit,29772429,,liver ,,,
DICER1-AS1,ENSG00000235706,o,bone ,tv,2,CLC2lit,29772430,,bone ,,,
TOB1-AS1,ENSG00000229980,t,cervical ,tvp,2,CLC2lit,30210918,,cervical ,,,
LINC00174,ENSG00000179406,o,colon ,tvp,2,CLC2lit,29729381,,colon ,,,
PTAR,ENSG00000233818,o,ovarian ,tv,2,CLC2lit,30098599,,ovarian ,,,
YIYA,ENSG00000281664,o,breast ,tp,2,CLC2lit,29967256,,breast ,,,
AC083837.1,ENSG00000261618,t,urothelial ,tp,2,CLC2lit,30149689,,urothelial ,,,
LINC00607,ENSG00000235770,t,liver ,tvp,2,CLC2lit,30169594,,liver ,,,
FUNDC2P4,ENSG00000227009,t,liver ,t,2,CLC2lit,29295626,,liver ,,,
LINC00339,ENSG00000218510,o,lung ,tvp,2,CLC2lit,29906749,,lung ,,,
LINC01605,ENSG00000253161,o,urothelial ,tvp,2,CLC2lit,30054424,,urothelial ,,,
NBR2,ENSG00000198496,t,bone ,tvp,2,CLC2lit,30187965,,bone ,,,
DHRS4-AS1,ENSG00000215256,t,kidney,tp,2,CLC2lit,30254456,,kidney,,,
SLCO4A1-AS1,ENSG00000232803,o,colon ,tvp,2,CLC2lit,30201010,,colon ,,,
CCDC26,ENSG00000229140,o,neuroepithelial ,tv,2,CLC2lit,28600863,,neuroepithelial ,,,
TBILA,ENSG00000261488,o,lung ,tv,2,CLC2lit,29908210,,lung ,,,
LINC01060,ENSG00000249378,t,pancreas ,tv,2,CLC2lit,29913236,,pancreas ,,,
HOXC-AS3,ENSG00000251151,o,stomach ,tvp,2,CLC2lit,30286788,,stomach ,,,
LINC00852,ENSG00000231177,o,lung ,t,2,CLC2lit,30519313,,lung ,,,
MAPKAPK5-AS1,ENSG00000234608,o,colon ,tp,2,CLC2lit,30343528,,colon ,,,
